"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","Verify that Policies Issued should be present on top of the page - TC_162","mobile-chrome","2026-08-14","skipped","2026-08-14","Our partners (Health) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that the SBI Comprehensive Car Insurance page top section is displayed - TC_232","firefox","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Top Section - @regression","generated/car-module.test.ts","",""
"","0","Verify that after entering valid pincode click on Submit should land on Advisor Listing Page - TC_067","mobile-chrome","2026-08-14","skipped","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that the More Insurers option is displayed - TC_444","webkit","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Other Own Damage Plans - @regression","generated/car-module.test.ts","",""
"","1129","Bike Insurance Premium Calculator link navigates correctly","Default Suite","2026-08-14","passed","2026-08-14","com.turtlemint.tests.NavigationTests","TestNGTest-fd9a02c9-dfcd-495c-bc1e-e5702adb4046","com.turtlemint.tests.NavigationTests","verifyBikePremiumCalculatorNavigation"
"","17099","Verify that the SBI Comprehensive Car Insurance page top section is displayed - TC_232","chromium","2026-08-14","failed","2026-08-14","SBI Comprehensive - Top Section - @regression","generated/car-module.test.ts","",""
"","0","Verify that the additional car insurance companies are displayed after clicking View More - TC_192","firefox","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Car Insurance Companies - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Customer Care navigation option is clickable - TC_062","webkit","2026-08-14","skipped","2026-08-14","National Car Insurance Navigation - @regression","generated/car-module.test.ts","",""
"","17717","Verify that repair monitoring and reimbursement information is displayed - TC_347","chromium","2026-08-14","failed","2026-08-14","SBI Third Party - Claims - @regression","generated/car-module.test.ts","",""
"","1","Verify that the user is able to get Find Advisor Popup - TC_060","webkit","2026-08-14","skipped","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that the Generali Central car insurance option is clickable - TC_186","chromium","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Car Insurance Companies - @regression","generated/car-module.test.ts","",""
"","1","Verify that the SBI Customer Care number is displayed - TC_356","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Customer Care - @regression","generated/car-module.test.ts","",""
"","0","Verify that the surveyor claim assessment information is displayed - TC_346","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Claims - @regression","generated/car-module.test.ts","",""
"","0","Verify that an insurer link redirects to the corresponding page - TC_297","firefox","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Other Comprehensive Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","1","Verify that the insurance type links are displayed below the National Car Insurance heading - TC_050","mobile-chrome","2026-08-14","skipped","2026-08-14","National Car Insurance - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Documents Required section is displayed - TC_100","mobile-chrome","2026-08-14","skipped","2026-08-14","National Car Insurance Documents - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Addons Under ThirdParty Car Insurance option is clickable - TC_139","firefox","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Table of Contents - @regression","generated/car-module.test.ts","",""
"","1","Verify that the How To Raise A Claim Under SBI Third Party Car Insurance section is displayed - TC_343","webkit","2026-08-14","skipped","2026-08-14","SBI Third Party - Claims - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Read More CTA is displayed for the Third Party plan - TC_072","webkit","2026-08-14","skipped","2026-08-14","National Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","1","Verify that Policies Issued should be present on top of the page - TC_162","firefox","2026-08-14","skipped","2026-08-14","Our partners (Health) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that visit website CTA is visible on all advisor - TC_102","webkit","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the number of SBI branches is displayed - TC_237","mobile-chrome","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Top Section - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Royal Sundaram Car Insurance Renewal Process section is displayed - TC_432","webkit","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Renewal - @regression","generated/car-module.test.ts","",""
"","1","Verify that the claim amount above 1 lakh document requirement is displayed - TC_419","mobile-chrome","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Claims - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Other Third Party Car Insurance Plans section is displayed - TC_363","firefox","2026-08-14","skipped","2026-08-14","SBI Third Party - Other Third Party Plans - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Addons section is displayed - TC_331","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Third Party - Add-ons - @regression","generated/car-module.test.ts","",""
"","0","Verify that term Life Plans is clickable - TC_106","mobile-chrome","2026-08-14","skipped","2026-08-14","Life Landing Page - @regression @landing","generated/life-landing.test.ts","",""
"","0","Verify that the National Car Insurance Plans Overview section is displayed - TC_068","webkit","2026-08-14","skipped","2026-08-14","National Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","16536","Verify that the Features navigation option is clickable - TC_058","chromium","2026-08-14","failed","2026-08-14","National Car Insurance Navigation - @regression","generated/car-module.test.ts","",""
"","10985","Verify that plans are visible on page - TC_105","chromium","2026-08-14","passed","2026-08-14","Life Dropdown & Navigation - @smoke @regression > Life Landing Page Flow","generated/dropdown-navigation.test.ts","",""
"","0","Verify that Own Damage plan cards display the required information - TC_228","webkit","2026-08-14","skipped","2026-08-14","Car Insurance - Top Car Insurance Plans - Own Damage - @regression","generated/car-module.test.ts","",""
"","0","Verify that the More dropdown is displayed - TC_106","firefox","2026-08-14","skipped","2026-08-14","National Car Insurance - More - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Advisor list are relevent to selected Insurer or not - TC_097","mobile-safari","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the user is able to select insurance type - TC_079","firefox","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Home Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Life Insurance link is clickable - TC_152","chromium","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Get Best Insurance Quotes - @regression","generated/car-module.test.ts","",""
"","18812","Verify that the FIR requirement is displayed - TC_352","chromium","2026-08-14","failed","2026-08-14","SBI Third Party - Documents Required - @regression","generated/car-module.test.ts","",""
"","0","Verify that all available features are displayed - TC_088","firefox","2026-08-14","skipped","2026-08-14","National Car Insurance Features - @regression","generated/car-module.test.ts","",""
"","0","Verify that visit website CTA is visible on all advisor - TC_051","webkit","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the user is able to select insurance type - TC_079","mobile-safari","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Home Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Health Insurance link is clickable - TC_151","chromium","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Get Best Insurance Quotes - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Claim Settlement Ratio option is clickable - TC_107","mobile-chrome","2026-08-14","skipped","2026-08-14","National Car Insurance - More - @regression","generated/car-module.test.ts","",""
"","0","Verify that the National car insurance option is clickable - TC_189","mobile-chrome","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Car Insurance Companies - @regression","generated/car-module.test.ts","",""
"","0","Verify that the How Does ThirdParty Car Insurance Work section is displayed - TC_156","firefox","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - @regression","generated/car-module.test.ts","",""
"","0","Verify that Own Damage coverage information is displayed - TC_387","mobile-chrome","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Overview - @regression","generated/car-module.test.ts","",""
"","0","Verify that No of Branches should be present on top of the page - TC_163","mobile-chrome","2026-08-14","skipped","2026-08-14","Our partners (Health) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that the repair and reimbursement information is displayed - TC_281","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Claims - @regression","generated/car-module.test.ts","",""
"","0","Verify that once user enters Pincode then Submit CTA should enable - TC_037","webkit","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Find Advisor Popup Flow","generated/shared-flows.test.ts","",""
"","19479","Verify that Engine Guard is displayed - TC_339","chromium","2026-08-14","failed","2026-08-14","SBI Third Party - Add-ons - @regression","generated/car-module.test.ts","",""
"","1","Verify that the More Insurers option is displayed and clickable - TC_446","mobile-safari","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Similar Car Insurance Companies - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Quotes Compared statistic is displayed - TC_211","firefox","2026-08-14","skipped","2026-08-14","Car Insurance - Insurance Experience - @regression","generated/car-module.test.ts","",""
"","0","Verify that get In Touch CTA is clickable - TC_078","firefox","2026-08-14","skipped","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that the Addons Under ThirdParty Car Insurance option is clickable - TC_139","mobile-chrome","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Table of Contents - @regression","generated/car-module.test.ts","",""
"","0","Verify that clicking on Plans it redirect to life Profile page - TC_110","mobile-safari","2026-08-14","skipped","2026-08-14","Life Dropdown & Navigation - @smoke @regression > Life Landing Page Flow","generated/dropdown-navigation.test.ts","",""
"","0","Verify that once user enters Pincode then Submit CTA should enable - TC_088","firefox","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Find Advisor Popup Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the user is able to enter car number - TC_140","mobile-chrome","2026-08-14","skipped","2026-08-14","Our partners (CAR) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","6935","Verify that after entering valid pincode click on Submit should land on Advisor Listing Page - TC_067","chromium","2026-08-14","passed","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that the Car Insurance page header is displayed - TC_202","mobile-safari","2026-08-14","skipped","2026-08-14","Car Insurance - Header - @regression","generated/car-module.test.ts","",""
"","16806","Verify that the Claim Settlement Ratio option is clickable - TC_107","chromium","2026-08-14","failed","2026-08-14","National Car Insurance - More - @regression","generated/car-module.test.ts","",""
"","0","Verify that the See All Plans CTA is displayed - TC_221","mobile-safari","2026-08-14","skipped","2026-08-14","Car Insurance - Top Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Comprehensive Insurance card details are displayed - TC_230","mobile-chrome","2026-08-14","skipped","2026-08-14","Car Insurance - Top Car Insurance Plans - Comprehensive - @regression","generated/car-module.test.ts","",""
"","15891","Verify that the Other Comprehensive Car Insurance Plans section is displayed - TC_295","chromium","2026-08-14","failed","2026-08-14","SBI Comprehensive - Other Comprehensive Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Claims menu navigates to the Claims section - TC_381","mobile-chrome","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Section Navigation - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Customer Care email ID is displayed - TC_290","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Customer Care - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Addons section provides the expected information - TC_086","mobile-safari","2026-08-14","skipped","2026-08-14","National Car Insurance Add-ons - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to select insurance type - TC_079","webkit","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Home Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Reimbursement Claim process is displayed - TC_420","firefox","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Claims - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Health dropdown is displayed - TC_011","webkit","2026-08-14","skipped","2026-08-14","Health Dropdown & Navigation - @smoke @regression > Health Dropdown","generated/dropdown-navigation.test.ts","",""
"","15930","Verify that the cashless garage CTAlink is displayed - TC_083","chromium","2026-08-14","failed","2026-08-14","National Cashless Garages - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to click on Find Advisor CTA - TC_113","mobile-safari","2026-08-14","skipped","2026-08-14","Life Dropdown & Navigation - @smoke @regression > Life Landing Page Flow","generated/dropdown-navigation.test.ts","",""
"","3758","Term Insurance link under Life menu navigates correctly","Default Suite","2026-08-14","passed","2026-08-14","com.turtlemint.tests.NavigationTests","TestNGTest-fd9a02c9-dfcd-495c-bc1e-e5702adb4046","com.turtlemint.tests.NavigationTests","verifyTermInsuranceNavigation"
"","0","Verify that home functionality is redirecting to Homepage or not - TC_045","mobile-safari","2026-08-14","skipped","2026-08-14","Bike - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that the Driving License requirement is displayed - TC_285","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Comprehensive - Documents Required For Claims - @regression","generated/car-module.test.ts","",""
"","1","Verify that all initially displayed car insurance companies are displayed - TC_183","firefox","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Car Insurance Companies - @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to click on Get a Quote CTA - TC_055","firefox","2026-08-14","skipped","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that the user is able to click on View all article CTA - TC_133","mobile-chrome","2026-08-14","skipped","2026-08-14","Our partners (BIKE) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","0","Verify that the Claims menu navigates to the Claims section - TC_381","mobile-safari","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Section Navigation - @regression","generated/car-module.test.ts","",""
"","0","Verify that advisor experience count is visible - TC_099","mobile-chrome","2026-08-14","skipped","2026-08-14","Life - Shared Flows - @regression @advisor > Advisor Listing Page Flow","generated/shared-flows.test.ts","",""
"","0","Verify that a cashless garage insurer link is clickable - TC_006","firefox","2026-08-14","skipped","2026-08-14","Car Dashboard - @smoke @regression","generated/car-module.test.ts","",""
"","0","Verify that all sections are displayed in the Health dropdown - TC_012","webkit","2026-08-14","skipped","2026-08-14","Health Dropdown & Navigation - @smoke @regression > Health Dropdown","generated/dropdown-navigation.test.ts","",""
"","0","Verify that the user is able to click on Insurer on the Insurer section - TC_135","chromium","2026-08-14","skipped","2026-08-14","Our partners (BIKE) - @regression > Insurer Landing Page Flow","generated/partners.test.ts","",""
"","1","Verify that the Health Insurance page is displayed - TC_200","firefox","2026-08-14","skipped","2026-08-14","Health Dropdown & Navigation - @smoke @regression > Health Insurance","generated/dropdown-navigation.test.ts","",""
"","0","Verify that the SBI Third Party Car Insurance Overview section is displayed - TC_320","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Third Party - Overview - @regression","generated/car-module.test.ts","",""
"","1","Verify that the car insurance renewal link is clickable - TC_195","mobile-chrome","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Importance - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Premium Calculator section is displayed - TC_326","mobile-chrome","2026-08-14","skipped","2026-08-14","SBI Third Party - Premium Calculator - @regression","generated/car-module.test.ts","",""
"","0","Verify that the insurerspecific Car Insurance page is displayed after clicking the insurer namelogo - TC_220","firefox","2026-08-14","skipped","2026-08-14","Car Insurance - Top Car Insurance Plans - @regression","generated/car-module.test.ts","",""
"","0","Verify that plans are visible on page - TC_105","mobile-chrome","2026-08-14","skipped","2026-08-14","Life Dropdown & Navigation - @smoke @regression > Life Landing Page Flow","generated/dropdown-navigation.test.ts","",""
"","0","Verify that Inconvenience Allowance is displayed - TC_337","firefox","2026-08-14","skipped","2026-08-14","SBI Third Party - Add-ons - @regression","generated/car-module.test.ts","",""
"","1","Verify that the Exclusions of ThirdParty Car Insurance option is clickable - TC_135","mobile-safari","2026-08-14","skipped","2026-08-14","Third Party Car Insurance - Table of Contents - @regression","generated/car-module.test.ts","",""
"","0","Verify that the SBI Customer Care email ID is displayed - TC_357","mobile-safari","2026-08-14","skipped","2026-08-14","SBI Third Party - Customer Care - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Royal Sundaram Customer Care number is displayed - TC_430","webkit","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Customer Care - @regression","generated/car-module.test.ts","",""
"","0","Verify that the What Is Car Insurance section is displayed - TC_208","chromium","2026-08-14","skipped","2026-08-14","Car Insurance - Introduction - @regression","generated/car-module.test.ts","",""
"","18169","Verify that the industry average claim settlement ratio is displayed - TC_252","chromium","2026-08-14","failed","2026-08-14","SBI Comprehensive - Claim Settlement Ratio - @regression","generated/car-module.test.ts","",""
"","0","Verify that FIR requirement is displayed - TC_426","chromium","2026-08-14","skipped","2026-08-14","Royal Sundaram Own Damage - Documents Required - @regression","generated/car-module.test.ts","",""
"","0","Verify that the Features navigation option is clickable - TC_058","firefox","2026-08-14","skipped","2026-08-14","National Car Insurance Navigation - @regression","generated/car-module.test.ts","",""
